name,ra,dec,distance_mly
Milky Way,0,0,0
Andromeda,10.684,41.269,2.54
Triangulum,23.462,30.660,2.73
Whirlpool Galaxy,202.484,47.230,23.16
Sombrero Galaxy,189.997,-11.623,31.1
Pinwheel Galaxy,210.802,54.349,20.87
Messier 81,148.888,69.065,11.74
Messier 82,148.968,69.679,12.0
NGC 253,11.888,-25.288,11.4
NGC 300,13.722,-37.684,6.07
NGC 4945,196.364,-49.468,11.7
Centaurus A,201.365,-43.019,13.05
NGC 1313,49.567,-66.499,13.0
NGC 2403,114.214,65.602,10.4
NGC 2903,143.042,21.501,30.0
NGC 3621,169.568,-32.814,22.0
NGC 4258,184.740,47.304,23.5
NGC 4631,190.533,32.543,25.0
NGC 5128,201.365,-43.019,13.05
NGC 5236,204.253,-29.865,15.0
NGC 5457,210.802,54.349,20.87
NGC 6744,287.442,-63.858,30.0
NGC 6946,308.718,60.153,22.0
NGC 7793,359.457,-32.591,12.7